buyer_key,award_count,allocated_award_value,mean_award_value,median_award_value,single_supplier_awards,multiple_supplier_awards,no_usable_supplier_awards,max_contract_duration_years,buyer_name,buyer_name_count,buyer_name_variants,multiple_name_flag,single_supplier_award_share_percent,multiple_supplier_award_share_percent,no_usable_supplier_share_percent,value_rank,activity_rank
ID:GB-GOR-D25,179,3443872396.59,19239510.59547486,576000.0,177,1,1,12.0,H M REVENUE & CUSTOMS,1,H M REVENUE & CUSTOMS,False,98.8826815642458,0.5586592178770949,0.5586592178770949,13,28
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/8u5J6V4e,67,3189878775.63,47610130.97955224,150000.0,55,9,3,6.0,BIP SOLUTIONS LIMITED,1,BIP SOLUTIONS LIMITED,False,82.08955223880598,13.432835820895525,4.477611940298507,14,117
ID:GB-CFS-43251,8,2989412812.6,373676601.575,129985359.595,7,1,0,32.56,HS2,1,HS2,False,87.5,12.5,0.0,15,859
ID:GB-CFS-326450,1,2945000000.0,2945000000.0,2945000000.0,0,1,0,15.0,Sellafield Ltd,1,Sellafield Ltd,False,0.0,100.0,0.0,16,2791
ID:GB-CFS-220820,1,2900000000.0,2900000000.0,2900000000.0,1,0,0,15.0,Ministry of Defence,1,Ministry of Defence,False,100.0,0.0,0.0,17,2791
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/ahmV766A,9,2804916798.0,311657422.0,2137060.0,8,1,0,7.93,Department For Work and Pensions,1,Department For Work and Pensions,False,88.88888888888889,11.11111111111111,0.0,18,779
ID:GB-CFS-57933,65,2356278016.59,36250431.02446154,111684.0,61,4,0,5.22,Peabody Trust,1,Peabody Trust,False,93.84615384615384,6.153846153846154,0.0,19,123
ID:GB-CFS-156204,4,2153365782.0,538341445.5,583541511.5,0,4,0,2.75,NHS England,1,NHS England,False,0.0,100.0,0.0,20,1342
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/XjVA96JU,107,2062115950.02,19272111.682429902,60100.0,107,0,0,14.0,KENT COUNTY COUNCIL,1,KENT COUNTY COUNCIL,False,100.0,0.0,0.0,21,59
ID:GB-CFS-70802,59,2005035481.49,33983652.228644066,369000.0,55,4,0,8.0,PROSPER,1,PROSPER,False,93.22033898305084,6.779661016949152,0.0,22,139
ID:GB-CFS-315740,1,2000000000.0,2000000000.0,2000000000.0,0,1,0,1.0,NOECPC,1,NOECPC,False,0.0,100.0,0.0,23,2791
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/8vt52CDf,30,1973862973.88,65795432.46266667,13000000.0,2,28,0,5.0,Espo,1,Espo,False,6.666666666666667,93.33333333333331,0.0,24,290
ID:GB-CFS-311321,3,1951280816.75,650426938.9166666,1200000.0,3,0,0,21.0,Hertfordshire County Council - Growth and Environment,1,Hertfordshire County Council - Growth and Environment,False,100.0,0.0,0.0,25,1590
